EN,EM,Description,Composition strategy,Attribute,generated_sentence
effective reprimand,👍😤,"[':thumbs_up:', ':face_with_steam_from_nose:']",Direct,EFFICACY,"""Your hard work is appreciated, but I need you to improve your focus and performance."""
effective entrance,👍🚪,"[':thumbs_up:', ':door:']",Direct,EFFECTIVENESS,"""An effective entrance is always met with a thumbs up!"""
effective entrance,👍🚪🧑,"[':thumbs_up:', ':door:', ':person:']",Direct,EFFECTIVENESS,"""An effective entrance is marked by a confident person giving a thumbs up as they walk through the door."""
effective entrance,💃👏,"[':woman_dancing:', ':clapping_hands:']",Metaphorical,EFFECTIVENESS,"""She made an effective entrance with her lively dance, earning applause from the audience."""
effective entrance,👍🚪,"[':thumbs_up:', ':door:']",Direct,EFFECTIVENESS,"""Making a positive impression as you enter through the door."""
effective entrance,🚪🥂,"[':door:', ':clinking_glasses:']",Metaphorical,EFFECTIVENESS,"""Make a grand entrance by opening the door and raising a toast!"""
effective entrance,👍➡️,"[':thumbs_up:', ':right_arrow:']",Metaphorical,EFFECTIVENESS,"""An effective entrance is one that receives a thumbs up!"""
effective entrance,💨🚪,"[':dashing_away:', ':door:']",Metaphorical,EFFECTIVENESS,"""Make a swift and impactful entrance."""
effective entrance,👍🚪🔓,"[':thumbs_up:', ':door:', ':unlocked:']",Direct,EFFECTIVENESS,"""An effective entrance is made easy with a thumbs up, an open door, and a key."""
foreign accent,✈️🗣️,"[':airplane:', ':speaking_head:']",Direct,FOREIGNNESS,The traveler spoke with a foreign accent while on the airplane.
foreign accent,👽🗣️,"[':alien:', ':speaking_head:']",Direct,FOREIGNNESS,"""Speaking with a foreign accent can add a unique charm to communication."""
foreign accent,🇻🇪🇲🇪🇲🇲🎙🗣,"[':Venezuela:', ':Montenegro:', ':Myanmar_(Burma):', ':studio_microphone:', ':speaking_head:']",Metaphorical,FOREIGNNESS,"The Venezuelan and Memmingen accents are fascinating to listen to, especially when people share their stories."
foreign accent,🔊🤔❓❓,"[':speaker_high_volume:', ':thinking_face:', ':red_question_mark:', ':red_question_mark:']",Metaphorical,FOREIGNNESS,"""Why do some people have a foreign accent when they speak?"""
foreign accent,🇫🇷🇯🇵👩‍🦱,"[':France:', ':Japan:', ':woman_curly_hair:']",Metaphorical,FOREIGNNESS,A French woman with curly hair is speaking Japanese with a charming foreign accent.
foreign accent,✈️🗣️👂,"[':airplane:', ':speaking_head:', ':ear:']",Direct,FOREIGNNESS,"""Listening to someone speak with a foreign accent while traveling by plane."""
foreign accent,🗣️🤷‍♀️,"[':speaking_head:', ':woman_shrugging:']",Metaphorical,FOREIGNNESS,"""Speaking with a foreign accent, I'm often met with confusion."""
foreign accent,🌏🗣,"[':globe_showing_Asia-Australia:', ':speaking_head:']",Direct,FOREIGNNESS,"""Speaking with a foreign accent can add charm and uniqueness to your communication."""
foreign nation,✈️🗺️,"[':airplane:', ':world_map:']",Metaphorical,FOREIGNNESS,"""Traveling to a foreign nation with a plane and a map."""
foreign nation,👽🇺🇳,"[':alien:', ':United_Nations:']",Direct,FOREIGNNESS,A diplomat is representing their country at the United Nations.
foreign nation,🇻🇪🇲🇪🇲🇲🇺🇳,"[':Venezuela:', ':Montenegro:', ':Myanmar_(Burma):', ':United_Nations:']",Semantic list,FOREIGNNESS,"The emoji represents the flags of Venezuela, Mexico, and the United Nations, symbolizing the collaboration and engagement of foreign nations."
foreign nation,❓❓🇧🇱🇲🇵🇩🇬🇹🇦,"[':red_question_mark:', ':red_question_mark:', ':St._Barthélemy:', ':Northern_Mariana_Islands:', ':Diego_Garcia:', ':Tristan_da_Cunha:']",Direct,FOREIGNNESS,"The question marks suggest curiosity about foreign nations, specifically Belize, Malta, and Guatemala."
foreign nation,🇦🇫🇦🇽🇦🇱,"[':Afghanistan:', ':Åland_Islands:', ':Albania:']",Semantic list,FOREIGNNESS,"The flags of Afghanistan, Axum, and Albania represent different foreign nations."
foreign nation,✈️🏝️,"[':airplane:', ':desert_island:']",Metaphorical,FOREIGNNESS,"""Traveling to a foreign nation for a tropical getaway."""
foreign nation,🧳🇮🇴🇧🇦🇬🇾🇬🇶🎌🇬🇪,"[':luggage:', ':British_Indian_Ocean_Territory:', ':Bosnia_&_Herzegovina:', ':Guyana:', ':Equatorial_Guinea:', ':crossed_flags:', ':Georgia:']",Semantic list,FOREIGNNESS,"""Traveling to various foreign nations, including the Isle of Man, Bosnia and Herzegovina, Guyana, Guadeloupe, Japan, and Georgia."""
foreign nation,🌏🇬🇧,"[':globe_showing_Asia-Australia:', ':United_Kingdom:']",Semantic list,FOREIGNNESS,"The Earth represents our planet, and the flag of the United Kingdom signifies a foreign nation."
foreign city,✈️🏙️,"[':airplane:', ':cityscape:']",Metaphorical,UNFAMILIARITY,I am traveling to a foreign city by plane.
foreign city,👽🏙️,"[':alien:', ':cityscape:']",Direct,UNFAMILIARITY,"""Exploring the vibrant streets of a foreign city filled with unique architecture and culture."""
foreign city,🇻🇪🇲🇪🇲🇲🌆,"[':Venezuela:', ':Montenegro:', ':Myanmar_(Burma):', ':cityscape_at_dusk:']",Semantic list,UNFAMILIARITY,"""Exploring the vibrant streets of Caracas, Venezuela."""
foreign city,❓❓🌆,"[':red_question_mark:', ':red_question_mark:', ':cityscape_at_dusk:']",Direct,UNFAMILIARITY,"""Which foreign city are we exploring?"""
foreign city,🇨🇿🇬🇪🇬🇭,"[':Czechia:', ':Georgia:', ':Ghana:']",Semantic list,UNFAMILIARITY,"Explore the vibrant cities of the Czech Republic, Georgia, and Ghana!"
foreign city,✈️🏝️,"[':airplane:', ':desert_island:']",Metaphorical,UNFAMILIARITY,"""Traveling to a foreign city for a tropical getaway."""
foreign city,🧳🇮🇴,"[':luggage:', ':British_Indian_Ocean_Territory:']",Metaphorical,UNFAMILIARITY,"""I'm ready to travel to a foreign city, bringing my suitcase along!"""
foreign city,🌏🏙,"[':globe_showing_Asia-Australia:', ':cityscape:']",Metaphorical,UNFAMILIARITY,"""Exploring a vibrant foreign city on the other side of the world."""
exotic cuisine,👌🍽️,"[':OK_hand:', ':fork_and_knife_with_plate:']",Metaphorical,FOREIGNNESS,"""Enjoying a delicious plate of exotic cuisine!"""
exotic cuisine,👽🥘,"[':alien:', ':shallow_pan_of_food:']",Direct,FOREIGNNESS,"""Discover the flavors of exotic cuisine with a delicious paella."""
exotic cuisine,🇻🇪🇲🇪🇲🇲🌮🍱🍣,"[':Venezuela:', ':Montenegro:', ':Myanmar_(Burma):', ':taco:', ':bento_box:', ':sushi:']",Metaphorical,FOREIGNNESS,"Exploring the exotic cuisine of Venezuela and Mexico, I enjoy delicious tacos, sushi, and bento boxes."
exotic cuisine,😈🥙,"[':smiling_face_with_horns:', ':stuffed_flatbread:']",Metaphorical,FOREIGNNESS,"""Indulge in some devilishly delicious exotic cuisine with a spicy wrap!"""
exotic cuisine,🍱🥐🍕,"[':bento_box:', ':croissant:', ':pizza:']",Semantic list,FOREIGNNESS,"Explore the flavors of exotic cuisine with a delightful bento box, flaky croissants, and delicious pizza!"
exotic cuisine,🤯👄🥤🍞,"[':exploding_head:', ':mouth:', ':cup_with_straw:', ':bread:']",Metaphorical,FOREIGNNESS,"""Experience an explosion of flavors with a unique dish featuring spicy sauces, tangy toppings, refreshing drinks, and a delicious bread!"""
exotic cuisine,🤔🧑‍🍳🌮,"[':thinking_face:', ':cook:', ':taco:']",Metaphorical,FOREIGNNESS,"""Thinking about trying my hand at making some exotic tacos."""
exotic cuisine,🌏🥂,"[':globe_showing_Asia-Australia:', ':clinking_glasses:']",Direct,FOREIGNNESS,"""Let's celebrate our journey around the world with a toast to exotic cuisine!"""
delicate china,❗🇨🇳,"[':red_exclamation_mark:', ':China:']",Direct,STRENGTH,"""Handle the delicate china with care!"""
delicate china,⚠️📦🍽️,"[':warning:', ':package:', ':fork_and_knife_with_plate:']",Metaphorical,STRENGTH,"""Handle the delicate china with caution when packing it for the shipment."""
delicate china,❌💪🏻🇨🇳☕️,"[':cross_mark:', ':flexed_biceps_light_skin_tone:', ':China:', ':hot_beverage:', '']",Metaphorical,STRENGTH,"""Be careful not to use too much strength when handling delicate china."""
delicate china,💪🇨🇳,"[':flexed_biceps:', ':China:']",Direct,STRENGTH,"""Strength and resilience are essential when handling delicate china from China."""
delicate china,🇨🇳😁👍,"[':China:', ':beaming_face_with_smiling_eyes:', ':thumbs_up:']",Direct,STRENGTH,"""China's delicate porcelain brings a smile and a thumbs up for its beauty and craftsmanship."""
delicate china,🫖🍽️🇨🇳,"[':teapot:', ':fork_and_knife_with_plate:', ':China:']",Semantic list,STRENGTH,"""Enjoying a cup of tea with delicate china dinnerware from China."""
delicate china,🍽️🙌,"[':fork_and_knife_with_plate:', ':raising_hands:']",Metaphorical,STRENGTH,"""Let's celebrate this elegant meal with our delicate china and raise our hands in appreciation!"""
delicate china,🤔🇨🇳,"[':thinking_face:', ':China:']",Direct,STRENGTH,I'm pondering the intricacies of delicate china from China.
delicate wing,🛑🐝,"[':stop_sign:', ':honeybee:']",Metaphorical,STRENGTH,"""Be careful, the delicate wings of a bee are easily damaged!"""
delicate wing,⚠️📦🐣,"[':warning:', ':package:', ':hatching_chick:']",Metaphorical,STRENGTH,"""Handle the fragile package with care, as it contains a delicate bird."""
delicate wing,❌💪🏻🦋,"[':cross_mark:', ':flexed_biceps_light_skin_tone:', ':butterfly:']",Direct,STRENGTH,"""Do not underestimate the strength of something with delicate wings."""
delicate wing,🐣💸,"[':hatching_chick:', ':money_with_wings:']",Metaphorical,STRENGTH,The delicate wing of the chick is a symbol of new beginnings and potential wealth.
delicate wing,🌬️🪡🚣,"[':wind_face:', ':sewing_needle:', ':person_rowing_boat:']",Metaphorical,STRENGTH,The delicate wing was gently carried by the soft breeze as it floated near the rowboat.
delicate wing,🦅🕊️,"[':eagle:', ':dove:']",Semantic list,STRENGTH,"The eagle and dove gracefully soar together, embodying the beauty of delicate wings in harmony."
delicate wing,🦋,[':butterfly:'],Single,STRENGTH,"The butterfly flutters gracefully, showcasing its delicate wings."
delicate wing,🤔🕊,"[':thinking_face:', ':dove:']",Metaphorical,STRENGTH,The thoughtful gaze of a dove symbolizes the grace and fragility of its delicate wings.
delicate negotiation,❕💬,"[':white_exclamation_mark:', ':speech_balloon:']",Direct,DIFFICULTY,"""Careful communication is essential during delicate negotiations."""
delicate negotiation,⚠️📦🗣️💬,"[':warning:', ':package:', ':speaking_head:', ':speech_balloon:']",Direct,DIFFICULTY,"""Let's discuss the delicate negotiation regarding the fragile package."""
delicate negotiation,🧘🕊☮️🗣,"[':person_in_lotus_position:', ':dove:', ':peace_symbol:', ':speaking_head:']",Metaphorical,DIFFICULTY,"""Engaging in a peaceful dialogue to reach a gentle agreement."""
delicate negotiation,‼️🗣️,"[':double_exclamation_mark:', ':speaking_head:']",Direct,DIFFICULTY,"""Engage in a careful discussion to reach a mutually beneficial agreement."""
delicate negotiation,🗣️😃,"[':speaking_head:', ':grinning_face_with_big_eyes:']",Metaphorical,DIFFICULTY,"""Engaging in a friendly conversation requires skillful negotiation."""
delicate negotiation,🤝🕊️☮️,"[':handshake:', ':dove:', ':peace_symbol:']",Metaphorical,DIFFICULTY,"Through delicate negotiation, we strive for peace and understanding."
delicate negotiation,🙋🧏‍♂️🙎‍♂️🙋‍♂️🧏🙎,"[':person_raising_hand:', ':deaf_man:', ':man_pouting:', ':man_raising_hand:', ':deaf_person:', ':person_pouting:']",Metaphorical,DIFFICULTY,"""In a delicate negotiation, each participant listens attentively, expresses their thoughts, and engages in a respectful dialogue."""
delicate negotiation,🤔👥,"[':thinking_face:', ':busts_in_silhouette:']",Metaphorical,DIFFICULTY,"""Engaging in a thoughtful discussion with others about the intricacies of a delicate negotiation."""
delicate flavor,💞🍜,"[':revolving_hearts:', ':steaming_bowl:']",Metaphorical,STRENGTH,The delicate flavors of the noodle dish make my heart flutter.
delicate flavor,⚠️📦😋,"[':warning:', ':package:', ':face_savoring_food:']",Metaphorical,STRENGTH,"""Handle the package with care to savor its delicate flavor!"""
delicate flavor,❌🌶👅,"[':cross_mark:', ':hot_pepper:', ':tongue:']",Direct,STRENGTH,"The dish has a delicate flavor, but it's too spicy for my taste."
delicate flavor,😈😝,"[':smiling_face_with_horns:', ':squinting_face_with_tongue:']",Metaphorical,STRENGTH,The mischievous devilish grin suggests a playful twist on a surprisingly delicate flavor.
delicate flavor,😝😋,"[':squinting_face_with_tongue:', ':face_savoring_food:']",Metaphorical,STRENGTH,The dish has a delicate flavor that makes my taste buds dance with joy!
delicate flavor,😋👍,"[':face_savoring_food:', ':thumbs_up:']",Metaphorical,STRENGTH,The dish has a delicate flavor that makes it absolutely delicious! 😋👍
delicate flavor,👅 🤔,"[':tongue:', ':thinking_face:']",Metaphorical,STRENGTH,The taste is so intricate that it leaves me pondering its delicate flavor.
delicate flavor,😋🤔,"[':face_savoring_food:', ':thinking_face:']",Metaphorical,STRENGTH,The dish has a delicate flavor that makes you think and savor every bite.
fresh bread,😀🍞,"[':grinning_face:', ':bread:']",Metaphorical,FRESHNESS,"""There's nothing like the joy of enjoying fresh bread!"""
fresh bread,🎛️⏰🍞♨️,"[':control_knobs:', ':alarm_clock:', ':bread:', ':hot_springs:']",Metaphorical,FRESHNESS,"""Set the timer on the oven to bake some fresh bread."""
fresh bread,🆕🍞,"[':NEW_button:', ':bread:']",Direct,FRESHNESS,"""Check out this fresh bread!"""
fresh bread,✨🍞,"[':sparkles:', ':bread:']",Metaphorical,FRESHNESS,"""Freshly baked bread sparkles with deliciousness!"""
fresh bread,🍞⏲️♨️,"[':bread:', ':timer_clock:', ':hot_springs:']",Metaphorical,FRESHNESS,"""Just baked a fresh loaf of bread!"""
fresh bread,🧼🍞,"[':soap:', ':bread:']",Direct,FRESHNESS,"""Freshly baked bread is as clean and comforting as a bar of soap."""
fresh bread,👨‍🍳⌛🍞,"[':man_cook:', ':hourglass_done:', ':bread:']",Metaphorical,FRESHNESS,A baker is racing against time to prepare fresh bread.
